Cap1,Cap2,Time,Distance
3310,255,1343,3.73422928601459
100,116,1343,3.82736723576403
100,449,1343,0.856950578388275
100,255,1343,0.35111604211286
116,449,1343,3.75158864720001
116,255,1343,3.87378021171168
449,255,1343,0.532370326886276
436,3008,1344,2.51767683540817
436,3310,1344,2.15436053727471
436,100,1344,3.55893431516888
436,116,1344,1.63303144460312
436,449,1344,3.69382876302185
436,255,1344,3.64027117730308
3008,3310,1344,3.83303209674852
3008,100,1344,2.02573027626196
3008,116,1344,3.61973591729015
3008,449,1344,2.43898524417713
3008,255,1344,2.14654408816613
3310,100,1344,3.74019832006272
3310,116,1344,0.678536873869062
3310,449,1344,3.55237311853485
3310,255,1344,3.71872996509951
100,116,1344,3.81912295630816
100,449,1344,0.942801860938448
100,255,1344,0.401821737377409
116,449,1344,3.77003016894679
116,255,1344,3.85207748424782
449,255,1344,0.56142988541402
436,3008,1345,2.47897967963486
436,3310,1345,2.15436053727471
436,100,1345,3.5402409367719
436,116,1345,1.6428117033606
436,449,1345,3.71363102192821
436,255,1345,3.59775483241126
3008,3310,1345,3.79397156468574
3008,100,1345,2.02472696636485
3008,116,1345,3.58089435007848
3008,449,1345,2.45596588517125
3008,255,1345,2.14118171685637
3310,100,1345,3.71188000289193
3310,116,1345,0.664295296460844
3310,449,1345,3.56142811745359
3310,255,1345,3.6575944135024
100,116,1345,3.78640231727282
100,449,1345,0.950980659845404
100,255,1345,0.428194062108526
116,449,1345,3.77479940054687
116,255,1345,3.78907269548421
449,255,1345,0.533536365981739
436,3008,1346,2.08110775736485
436,3310,1346,2.14829591699248
436,100,1346,3.52440241836195
436,116,1346,1.63531511382319
436,449,1346,3.61120313115263
436,255,1346,3.60384187931415
3008,3310,1346,3.44125219615593
3008,100,1346,2.09175253706671
3008,116,1346,3.19474667984928
3008,449,1346,2.37408499954403
3008,255,1346,2.23439766586881
3310,100,1346,3.692034134169
3310,116,1346,0.664295296460844
3310,449,1346,3.53629381354774
3310,255,1346,3.6575944135024
100,116,1346,3.76970528718745
100,449,1346,0.806205234074426
100,255,1346,0.376384238279182
116,449,1346,3.72430045691751
116,255,1346,3.78907269548421
449,255,1346,0.439813616528638
436,3008,1347,1.78712028092178
436,3310,1347,2.17777475214186
436,100,1347,3.50613641476762
436,116,1347,1.7591254195965
436,449,1347,3.61120313115263
436,255,1347,3.63634344476461
3008,3310,1347,3.45149276266734
3008,100,1347,2.51180459671329
3008,116,1347,3.17722241874015
3008,449,1347,2.81586947419674
3008,255,1347,2.72034581842181
3310,100,1347,3.71653258846589
3310,116,1347,0.558142694030836
3310,449,1347,3.5822115356796
3310,255,1347,3.71558202352525
100,116,1347,3.77506632516423
100,449,1347,0.756726549520367
100,255,1347,0.361878963087107
116,449,1347,3.73266650690575
116,255,1347,3.82255960523888
449,255,1347,0.423012428285506
436,3008,1348,1.63019656949439
436,3310,1348,1.9689303696741
436,100,1348,3.31964950988715
436,116,1348,1.58712169899633
436,449,1348,3.3943464557645
436,255,1348,3.43289062489748
3008,3310,1348,3.42702987839562
3008,100,1348,2.84497434989459
3008,116,1348,3.12311845077053
3008,449,1348,3.0920754434544
3008,255,1348,3.02963797006187
3310,100,1348,3.72593942198863
3310,116,1348,0.567463733554841
3310,449,1348,3.58601300002607
3310,255,1348,3.72224706750425
100,116,1348,3.77646419733975
100,449,1348,0.75451084627658
100,255,1348,0.358888083843696
116,449,1348,3.73266650690575
116,255,1348,3.82255960523888
449,255,1348,0.423012428285506
436,3008,1349,1.56983150721702
436,3310,1349,1.89744926672625
436,100,1349,3.37057424223366
436,116,1349,1.54734771221597
436,449,1349,3.42072563619417
436,255,1349,3.4613468978454
3008,3310,1349,3.31018711752905
3008,100,1349,2.94443464288442
3008,116,1349,3.03823107680114
3008,449,1349,3.14320392180243
3008,255,1349,3.08894049229887
3310,100,1349,3.73214582522294
3310,116,1349,0.531429697043739
3310,449,1349,3.57400643468307
3310,255,1349,3.72224706750425
100,116,1349,3.7909459014432
100,449,1349,1.00890430346441
100,255,1349,0.33803900947228
116,449,1349,3.74138189864868
116,255,1349,3.82449955205697
449,255,1349,0.702387372668387
436,3008,1350,1.61090353223773
436,3310,1350,1.90868764624702
436,100,1350,3.31917484248194
436,116,1350,1.41374073712828
436,449,1350,3.4839248538641
436,255,1350,3.42177625751889
3008,3310,1350,3.44426995301239
3008,100,1350,3.26478635574412
3008,116,1350,3.01998380396054
3008,449,1350,3.56002504150462
3008,255,1350,3.41461173585636
3310,100,1350,3.75711543821706
3310,116,1350,0.703182461100958
3310,449,1350,3.62816288590741
3310,255,1350,3.74630528992286
100,116,1350,3.8581449100998
100,449,1350,1.04533482174325
100,255,1350,0.335122897941934
116,449,1350,3.87090665249835
116,255,1350,3.90059384180717
449,255,1350,0.729607326226923
436,3008,1351,1.67177060690156
436,3310,1351,1.81568228366198
436,100,1351,3.28042273201991
436,116,1351,1.35000150924508
436,449,1351,3.42716133041034
436,255,1351,3.30012463111138
3008,3310,1351,3.44426995301239
3008,100,1351,3.32946601813759
3008,116,1351,3.01998380396054
3008,449,1351,3.57374636612617
3008,255,1351,3.37663952998362
3310,100,1351,3.77335616597334
3310,116,1351,0.703182461100958
3310,449,1351,3.69215014555692
3310,255,1351,3.72876728671876
100,116,1351,3.88624410516491
100,449,1351,1.00586357555535
100,255,1351,0.309955063073666
116,449,1351,3.92987674201316
116,255,1351,3.88057047475548
449,255,1351,0.69614489703222
436,3008,1352,1.74994759569565
436,3310,1352,1.62578299514419
436,100,1352,3.06510653663278
436,116,1352,1.25818612697009
436,449,1352,3.26147525495381
436,255,1352,2.95085520411016
3008,3310,1352,3.36365426583069
3008,100,1352,3.20898352866916
3008,116,1352,2.95787223743031
3008,449,1352,3.55202718925362
3008,255,1352,3.07977126216299
3310,100,1352,3.77080614941805
3310,116,1352,0.701933165479449
3310,449,1352,3.73301300042419
3310,255,1352,3.66907820614443
100,116,1352,3.8856141168841
100,449,1352,1.05272871179093
100,255,1352,0.353069971854021
116,449,1352,3.98702569485274
116,255,1352,3.79896170086565
449,255,1352,0.797060942565875
436,3008,1353,1.73040791084739
436,3310,1353,1.5574674511257
436,100,1353,3.07697282541982
436,116,1353,1.23143540951038
436,449,1353,3.16682322138322
