"","Cap1","Cap2","Time","Distance"
"16013",376,218,773,5.89948401094221
"16018",742,218,773,5.49063258584153
"16022",436,218,773,3.32408411125393
"16025",100,218,773,2.9718596147506
"16027",116,218,773,1.49809330719512
"16029",218,255,773,0.992022931078113
"16034",376,218,774,5.8339129227454
"16039",742,218,774,5.52423940324827
"16043",436,218,774,3.33323608055157
"16046",100,218,774,2.97283797402173
"16048",116,218,774,1.51311748612988
"16050",218,255,774,1.00134205933078
"16055",376,218,775,5.845199255012
"16060",742,218,775,5.54776485380606
"16064",436,218,775,3.32839438803319
"16067",100,218,775,2.97283797402173
"16069",116,218,775,1.51311748612988
"16071",218,255,775,1.00134205933078
"16076",376,218,776,5.80896511513557
"16081",742,218,776,5.69697446141562
"16085",436,218,776,3.44834978442281
"16088",100,218,776,2.97305131341281
"16090",116,218,776,1.51407397112295
"16092",218,255,776,1.00303008717825
"16097",376,218,777,5.80896511513557
"16102",742,218,777,5.67904622824025
"16106",436,218,777,3.43284710530906
"16109",100,218,777,2.90657556397655
"16111",116,218,777,1.50956349635648
"16113",218,255,777,1.10511862214172
"16118",376,218,778,5.80718644372747
"16123",742,218,778,5.6870155946475
"16127",436,218,778,3.46180607710958
"16130",100,218,778,2.90702453495075
"16132",116,218,778,1.50956349635648
"16134",218,255,778,1.13152452315644
"16139",376,218,779,5.81056672308193
"16144",742,218,779,5.75671080044189
"16148",436,218,779,3.45326008789927
"16151",100,218,779,2.90885991059186
"16153",116,218,779,1.52747479409308
"16155",218,255,779,1.13889228617674
"16160",376,218,780,5.66559257334368
"16165",742,218,780,5.80318855922538
"16169",436,218,780,3.25965931498003
"16172",100,218,780,2.96522249719115
"16174",116,218,780,1.5839154124478
"16176",218,255,780,1.19161743924503
"16181",376,218,781,5.69294149092357
"16186",742,218,781,5.88467953517862
"16190",436,218,781,3.14013276127747
"16193",100,218,781,2.96522249719115
"16195",116,218,781,1.5839154124478
"16197",218,255,781,1.69423420791722
"16202",376,218,782,5.70486728943795
"16207",742,218,782,5.86459578292708
"16211",436,218,782,3.15097317056939
"16214",100,218,782,2.96715377468855
"16216",116,218,782,1.58964428278458
"16218",218,255,782,2.16371297127805
"16223",376,218,783,5.86753239521767
"16228",742,218,783,5.46272461478117
"16232",436,218,783,3.15097317056939
"16235",100,218,783,2.96715377468855
"16237",116,218,783,1.58964428278458
"16239",218,255,783,2.88169520389442
"16244",376,218,784,5.89760841489998
"16249",742,218,784,4.980998457403
"16253",436,218,784,3.15411497541673
"16256",100,218,784,2.96681447715365
"16258",116,218,784,1.59212401470165
"16260",218,255,784,3.03961822169464
"16265",376,218,785,5.85120304372102
"16270",742,218,785,4.52616280884914
"16274",436,218,785,3.30962046982085
"16277",100,218,785,2.94656870987669
"16279",116,218,785,1.55668430055068
"16281",218,255,785,3.00650879855708
"16286",376,218,786,5.908369188647
"16291",742,218,786,4.45897377771177
"16295",436,218,786,3.33278733762854
"16298",100,218,786,2.94634293462665
"16300",116,218,786,1.55833407893845
"16302",218,255,786,3.13859502366922
"16307",376,218,787,5.94999574720228
"16312",742,218,787,4.49052926866323
"16316",436,218,787,3.32344477198782
"16319",100,218,787,3.00008806013683
"16321",116,218,787,1.61912147187324
"16323",218,255,787,3.22519189745373
"16328",376,218,788,5.94129178511518
"16333",742,218,788,3.995536683164
"16337",436,218,788,3.3175799317456
"16340",100,218,788,3.00008806013683
"16342",116,218,788,1.61912147187324
"16344",218,255,788,3.29882829240765
"16349",376,218,789,5.94245090375925
"16354",742,218,789,3.46833444711509
"16358",436,218,789,3.36094474422314
"16361",100,218,789,3.00008806013683
"16363",116,218,789,1.60929316393366
