experiment,contact_duration,cap_ID,infected,distance,time
1,1h,449,0,1.135346555,1
1,1h,449,0,1.364266053,1
1,1h,449,0,0.610787176,1
1,1h,449,0,0.899089917,1
1,1h,449,0,1.206627836,1
1,1h,449,0,1.520690729,1
1,1h,449,0,0.620437009,1
1,1h,449,0,1.003240283,1
1,1h,449,0,0.456592673,1
1,1h,449,0,0.926795688,1
1,1h,449,0,1.580628461,1
1,1h,449,0,1.088806853,1
1,1h,449,0,0.468386129,1
1,1h,449,0,1.298063427,1
1,1h,449,0,1.867875733,1
1,1h,449,0,1.488852443,1
1,1h,449,0,0.308183387,1
1,1h,449,0,0.950805873,1
1,1h,449,0,0.716728152,1
1,1h,449,0,1.485359154,1
1,1h,449,0,1.593690435,1
1,1h,449,0,1.417071531,1
1,1h,449,0,1.3075735,1
1,1h,449,0,1.050227666,1
1,1h,449,0,1.164297536,1
1,1h,449,0,1.443019711,1
1,1h,449,0,1.689668796,1
1,1h,449,0,1.114615674,1
1,1h,449,0,0.836938543,1
1,1h,449,0,1.183566374,1
1,1h,449,0,0.943397189,1
1,1h,449,0,0.736939697,1
1,1h,3008,0,1.614335418,1
1,1h,3008,0,1.395166951,1
1,1h,3008,0,1.629105037,1
1,1h,3008,0,1.896158561,1
1,1h,3008,0,1.975869512,1
1,1h,3008,0,1.949874753,1
1,1h,3008,0,1.900007099,1
1,1h,3310,0,0.857873388,4
1,1h,3310,0,1.657437433,2
1,1h,3310,0,1.426429863,2
1,1h,3310,0,1.414071885,2
1,1h,3310,0,0.724013037,2
1,1h,3310,0,1.395216733,2
1,1h,3310,0,0.910765114,2
1,1h,3310,0,0.748102494,2
1,1h,3310,0,1.414022392,1
1,1h,3310,0,1.136564355,1
1,1h,3310,0,1.678436121,1
1,1h,3310,0,1.827509383,1
1,1h,3310,0,1.355437135,1
1,1h,3310,0,1.683662168,1
1,1h,3310,0,0.921166835,1
1,1h,3310,0,1.205713666,1
1,1h,3310,0,1.130801938,1
1,1h,3310,0,1.680389211,1
1,1h,3310,0,1.257610633,1
1,1h,3310,0,0.747149091,1
1,1h,3310,0,0.572425852,1
1,1h,3310,0,1.746537461,1
1,1h,3310,0,1.695856454,1
1,1h,3310,0,1.916401617,1
1,1h,3310,0,1.046021213,1
1,1h,3310,0,0.631230222,1
1,1h,3310,0,0.303543054,1
1,1h,3310,0,1.161991481,1
1,1h,3310,0,1.322381274,1
1,1h,3310,0,1.266258895,1
1,1h,3310,0,1.722903274,1
1,1h,3310,0,1.748846996,1
1,1h,3310,0,0.942619324,1
1,1h,3310,0,1.446552692,1
1,1h,3310,0,1.842740921,1
1,1h,3310,0,1.566702912,1
1,1h,3310,0,0.769220942,1
1,1h,3310,0,1.679701364,1
1,1h,3310,0,1.355359272,1
1,1h,3310,0,1.023895867,1
1,1h,3310,0,1.591763668,1
1,1h,3310,0,1.909153863,1
1,6h,100,0,1.115451568,13
1,6h,100,0,1.178527645,11
1,6h,100,0,1.621447281,9
1,6h,100,0,1.352297479,8
1,6h,100,0,1.310067659,6
1,6h,100,0,1.329455241,4
1,6h,100,0,1.667233208,4
1,6h,100,0,1.560463959,3
1,6h,100,0,1.039432556,3
1,6h,100,0,1.147930297,3
1,6h,100,0,0.737347294,3
1,6h,100,0,1.435923,3
1,6h,100,0,1.52764689,3
1,6h,100,0,1.720528682,2
1,6h,100,0,1.149588594,2
1,6h,100,0,1.313832611,2
1,6h,100,0,1.667216511,2
1,6h,100,0,1.611704269,2
1,6h,100,0,1.928774591,2
1,6h,100,0,1.260131919,2
1,6h,100,0,1.251984585,2
1,6h,100,0,1.116419333,1
1,6h,100,0,1.273756338,1
1,6h,100,0,1.833062864,1
1,6h,100,0,0.979886739,1
1,6h,100,0,1.991350157,1
1,6h,100,0,1.57092046,1
1,6h,100,0,1.878718885,1
1,6h,100,0,1.614412222,1
1,6h,100,0,1.860691925,1
1,6h,100,0,1.97643593,1
1,6h,100,0,1.962367949,1
1,6h,100,0,1.960124108,1
1,6h,100,0,1.712425641,1
1,6h,100,0,1.885544784,1
