"","Cap1","Cap2","Time","Distance"
"46891",436,116,2240,2.63373548779087
"46892",436,449,2240,0.418866392182519
"46893",436,255,2240,1.51173458652635
"46909",436,3008,2241,4.00584633132342
"46910",436,3310,2241,2.18854358389318
"46911",436,100,2241,2.90466112270881
"46912",436,116,2241,2.65493483625286
"46913",436,449,2241,0.40077324935679
"46914",436,255,2241,1.49501317713256
"46930",436,3008,2242,4.00863451178269
"46931",436,3310,2242,2.14859869610404
"46932",436,100,2242,2.90241710804564
"46933",436,116,2242,2.89725719100825
"46934",436,449,2242,0.400608452606782
"46935",436,255,2242,1.53020116099159
"46951",436,3008,2243,4.0117256914519
"46952",436,3310,2243,2.15187088650783
"46953",436,100,2243,2.89322285949009
"46954",436,116,2243,2.89430209959655
"46955",436,449,2243,0.401995963910087
"46956",436,255,2243,1.52897218830167
"46972",436,3008,2244,3.92875657607216
"46973",436,3310,2244,2.15187088650783
"46974",436,100,2244,2.88111450120886
"46975",436,116,2244,2.8843613260651
"46976",436,449,2244,0.401995963910087
"46977",436,255,2244,1.54637130162843
"46993",436,3008,2245,3.87849102251508
"46994",436,3310,2245,2.15187088650783
"46995",436,100,2245,2.84905346190204
"46996",436,116,2245,2.87900423903821
"46997",436,449,2245,0.401995963910087
"46998",436,255,2245,1.55702135659727
"47014",436,3008,2246,3.87930525596144
"47015",436,3310,2246,2.15253769904269
"47016",436,100,2246,2.84976664545994
"47017",436,116,2246,2.87903603103539
"47018",436,449,2246,0.403472405252206
"47019",436,255,2246,1.55584621235519
"47035",436,3008,2247,3.80906480957518
"47036",436,3310,2247,2.15581750352389
"47037",436,100,2247,2.85125513274838
"47038",436,116,2247,2.88786612599269
"47039",436,449,2247,0.408524424116845
"47040",436,255,2247,1.56084713095165
"47056",436,3008,2248,3.83444711659243
"47057",436,3310,2248,2.15523393611923
"47058",436,100,2248,2.81565348596023
"47059",436,116,2248,2.99097958037162
"47060",436,449,2248,0.410886595911816
"47061",436,255,2248,1.5691073517768
"47077",436,3008,2249,3.83521974733443
"47078",436,3310,2249,2.16016057090671
"47079",436,100,2249,2.77785847117883
"47080",436,116,2249,3.00481908841448
"47081",436,449,2249,0.418169627065381
"47082",436,255,2249,1.58752284402461
"47098",436,3008,2250,3.83032943910103
"47099",436,3310,2250,2.17540122747506
"47100",436,100,2250,2.69412411835461
"47101",436,116,2250,2.94424661557146
"47102",436,449,2250,0.417025113152673
"47103",436,255,2250,1.60812735745649
"47119",436,3008,2251,3.87968849297312
"47120",436,3310,2251,2.1649882540559
"47121",436,100,2251,2.40701999279192
"47122",436,116,2251,2.7583594328876
"47123",436,449,2251,0.344964641231533
"47124",436,255,2251,1.54430529086706
"47140",436,3008,2252,3.8775661056142
"47141",436,3310,2252,2.04101278587372
"47142",436,100,2252,2.26774535742001
"47143",436,116,2252,2.74831071987867
"47144",436,449,2252,0.358101761654421
"47145",436,255,2252,1.5678727922727
"47161",436,3008,2253,3.90367146025826
"47162",436,3310,2253,1.98589744795647
"47163",436,100,2253,2.27027446217412
"47164",436,116,2253,2.72280055319886
"47165",436,449,2253,0.353685376146654
"47166",436,255,2253,1.52840029917198
"47182",436,3008,2254,3.87900034415246
"47183",436,3310,2254,1.97699188842544
"47184",436,100,2254,2.2145900224195
"47185",436,116,2254,2.62426791943963
"47186",436,449,2254,0.343567321496094
"47187",436,255,2254,1.54820156368898
"47203",436,3008,2255,3.88166241962576
"47204",436,3310,2255,1.99044715503828
"47205",436,100,2255,2.20968705044402
"47206",436,116,2255,2.13131650500342
"47207",436,449,2255,0.313340839023579
"47208",436,255,2255,1.56091065769601
"47224",436,3008,2256,3.88166241962576
"47225",436,3310,2256,1.99048981361372
"47226",436,100,2256,2.24785140534244
"47227",436,116,2256,2.04918814668151
"47228",436,449,2256,0.313340839023579
"47229",436,255,2256,1.55468007287963
"47245",436,3008,2257,3.85163338503743
"47246",436,3310,2257,2.06657151741719
"47247",436,100,2257,2.25171666523566
"47248",436,116,2257,1.96312071796413
"47249",436,449,2257,0.316988834819147
"47250",436,255,2257,1.55790324764056
"47266",436,3008,2258,3.86479178912744
"47267",436,3310,2258,2.05774673273948
"47268",436,100,2258,2.26725603267474
"47269",436,116,2258,1.98356938073766
"47270",436,449,2258,0.370556143924238
"47271",436,255,2258,1.58448553019868
"47287",436,3008,2259,4.00069925243371
"47288",436,3310,2259,1.83207307422493
"47289",436,100,2259,2.36346635512334
"47290",436,116,2259,2.01235718693278
"47291",436,449,2259,0.393058542967839
"47292",436,255,2259,1.72262616619538
"47308",436,3008,2260,4.00481786577412
"47309",436,3310,2260,1.81745930851285
"47310",436,100,2260,2.39859811913126
"47311",436,116,2260,2.00969685835949
"47312",436,449,2260,0.373534413675634
"47313",436,255,2260,1.71461106996922
"47329",436,3008,2261,3.86824168974691
"47330",436,3310,2261,1.88915436653546
"47331",436,100,2261,2.39882657626599
"47332",436,116,2261,1.9741553222581
"47333",436,449,2261,0.372422599341125
"47334",436,255,2261,1.71413452837314
"47350",436,3008,2262,3.90439314327284
"47351",436,3310,2262,1.89932544214229
"47352",436,100,2262,2.4345494741122
"47353",436,116,2262,2.04562104515964
"47354",436,449,2262,0.380725876451812
"47355",436,255,2262,1.72962944788645
"47371",436,3008,2263,3.82462844376666
"47372",436,3310,2263,1.91159028086277
"47373",436,100,2263,2.42809397073095
"47374",436,116,2263,2.065678701662
"47375",436,449,2263,0.391535688667074
"47376",436,255,2263,1.72361759759089
"47392",436,3008,2264,3.85565044103962
"47393",436,3310,2264,1.88222319064159
"47394",436,100,2264,2.46026478400192
"47395",436,116,2264,2.09652864518947
"47396",436,449,2264,0.423311849822327
"47397",436,255,2264,1.74951533192053
"47413",436,3008,2265,3.85659879035777
"47414",436,3310,2265,1.89014887344595
"47415",436,100,2265,2.43779238625852
"47416",436,116,2265,2.10031319609719
"47417",436,449,2265,0.423451221039685
"47418",436,255,2265,1.74951533192053
"47434",436,3008,2266,3.88088933230374
"47435",436,3310,2266,1.98824656982579
"47436",436,100,2266,2.46235526122857
"47437",436,116,2266,2.11480258274857
"47438",436,449,2266,0.452144032914292
"47439",436,255,2266,1.76926008224483
"47455",436,3008,2267,3.88442086504398
"47456",436,3310,2267,2.04128327412341
"47457",436,100,2267,2.44130778751881
"47458",436,116,2267,2.25239179817811
"47459",436,449,2267,0.466148365759229
"47460",436,255,2267,1.77236620725656
"47476",436,3008,2268,3.90568798356308
"47477",436,3310,2268,2.19896039075764
"47478",436,100,2268,2.46301826379749
"47479",436,116,2268,2.50693161510241
"47480",436,449,2268,0.486612323415673
"47481",436,255,2268,1.78974527478773
"47497",436,3008,2269,4.03476460140229
"47498",436,3310,2269,2.19257801798796
"47499",436,100,2269,2.58887381488554
"47500",436,116,2269,2.62720294541552
"47501",436,449,2269,0.632708747924351
"47502",436,255,2269,1.89507441748998
"47518",436,3008,2270,4.10040875198251
"47519",436,3310,2270,2.2049919644171
"47520",436,100,2270,2.67350959214662
"47521",436,116,2270,2.58981279613025
"47522",436,449,2270,0.663845584755973
"47523",436,255,2270,1.89697355747939
"47539",436,3008,2271,4.14696051258414
"47540",436,3310,2271,2.31547381390591
"47541",436,100,2271,2.66184799209121
"47542",436,116,2271,2.53876392372351
"47543",436,449,2271,0.728520331493912
"47544",436,255,2271,1.98121428027258
"47560",436,3008,2272,4.13788098249963
"47561",436,3310,2272,2.38141488380101
"47562",436,100,2272,2.66789349731206
"47563",436,116,2272,2.56888724762299
"47564",436,449,2272,0.717905161703132
"47565",436,255,2272,1.9885228719268
"47581",436,3008,2273,4.1481019205875
"47582",436,3310,2273,2.34570993816712
"47583",436,100,2273,2.67774903515994
"47584",436,116,2273,2.57192703582353
"47585",436,449,2273,0.748266993191601
"47586",436,255,2273,2.04477077220309
"47602",436,3008,2274,4.14645952590662
"47603",436,3310,2274,2.4377601220237
"47604",436,100,2274,2.49795001679377
"47605",436,116,2274,2.5938291806902
"47606",436,449,2274,0.75808020011078
"47607",436,255,2274,2.04212905751718
"47623",436,3008,2275,4.16323184153793
"47624",436,3310,2275,2.55621853868189
"47625",436,100,2275,2.38988315800166
"47626",436,116,2275,2.59603393510177
"47627",436,449,2275,0.759625461526929
"47628",436,255,2275,2.00927464395886
"47644",436,3008,2276,4.17152745307943
"47645",436,3310,2276,2.58620622743064
"47646",436,100,2276,2.08649405295103
"47647",436,116,2276,2.59441486092722
"47648",436,449,2276,0.760098018087141
"47649",436,255,2276,1.93391365500117
"47665",436,3008,2277,4.172924518248
"47666",436,3310,2277,2.35225351292776
"47667",436,100,2277,1.7846819438208
